## sources
NAME  	REVISION          	SUSPENDED	READY	MESSAGE                                           
gitops	main@sha1:8ac6d4a6	False    	True 	stored artifact for revision 'main@sha1:8ac6d4a6'	
NAME                     	REVISION       	SUSPENDED	READY	MESSAGE                                     
actions-runner-controller	sha256:6469d242	False    	True 	stored artifact: revision 'sha256:6469d242'	
cert-manager             	sha256:05de9985	False    	True 	stored artifact: revision 'sha256:05de9985'	
ingress-nginx            	sha256:b2fbc105	False    	True 	stored artifact: revision 'sha256:b2fbc105'	
longhorn                 	sha256:01471071	False    	True 	stored artifact: revision 'sha256:01471071'	
prometheus-community     	sha256:9f332a19	False    	True 	stored artifact: revision 'sha256:9f332a19'	

## kustomizations
NAMESPACE  	NAME                	REVISION          	SUSPENDED	READY	MESSAGE                                                                                                                       
flux-system	apps                	main@sha1:df89515e	True     	False	dependency 'flux-system/ingress-nginx' is not ready                                                                          	
flux-system	cert-manager        	main@sha1:8ac6d4a6	False    	True 	Applied revision: main@sha1:8ac6d4a6                                                                                         	
flux-system	cert-manager-issuers	main@sha1:8ac6d4a6	False    	True 	Applied revision: main@sha1:8ac6d4a6                                                                                         	
flux-system	infra-longhorn      	main@sha1:df89515e	True     	True 	Applied revision: main@sha1:df89515e                                                                                         	
flux-system	ingress-nginx       	main@sha1:df89515e	True     	False	health check failed after 5m0.023698735s: timeout waiting for: [HelmRelease/ingress-nginx/ingress-nginx status: 'InProgress']	
flux-system	lab-root            	main@sha1:8ac6d4a6	False    	True 	Applied revision: main@sha1:8ac6d4a6                                                                                         	
flux-system	observability       	main@sha1:8ac6d4a6	False    	True 	Applied revision: main@sha1:8ac6d4a6                                                                                         	
flux-system	whoami              	main@sha1:8ac6d4a6	False    	True 	Applied revision: main@sha1:8ac6d4a6                                                                                         	

## helmreleases
NAMESPACE      	NAME                           	REVISION	SUSPENDED	READY	MESSAGE                                                                                                                                                                          
cert-manager   	cert-manager                   	v1.15.5 	False    	True 	Helm install succeeded for release cert-manager/cert-manager.v1 with chart cert-manager@v1.15.5                                                                                 	
flux-system    	gha-runner-scale-set-controller	        	False    	False	HelmChart 'flux-system/flux-system-gha-runner-scale-set-controller' is not ready: invalid chart reference: failed to get chart version for remote reference: no chart name found	
ingress-nginx  	ingress-nginx                  	4.11.3  	False    	True 	Helm install succeeded for release ingress-nginx/ingress-nginx.v1 with chart ingress-nginx@4.11.3                                                                               	
longhorn-system	longhorn                       	1.9.1   	False    	True 	Helm upgrade succeeded for release longhorn-system/longhorn.v3 with chart longhorn@1.9.1                                                                                        	
observability  	kube-prometheus-stack          	61.9.0  	False    	True 	Helm upgrade succeeded for release observability/kube-prometheus-stack.v2 with chart kube-prometheus-stack@61.9.0                                                               	
