LAST SEEN   TYPE      REASON              OBJECT                                           MESSAGE
41m         Normal    SuccessfulCreate    job/ingress-nginx-admission-create               Created pod: ingress-nginx-admission-create-plsrw
41m         Normal    Scheduled           pod/ingress-nginx-admission-create-plsrw         Successfully assigned ingress-nginx/ingress-nginx-admission-create-plsrw to master1
41m         Normal    Started             pod/ingress-nginx-admission-create-plsrw         Started container create
41m         Normal    Pulled              pod/ingress-nginx-admission-create-plsrw         Container image "registry.k8s.io/ingress-nginx/kube-webhook-certgen:v1.4.4@sha256:a9f03b34a3cbfbb26d103a14046ab2c5130a80c3d69d526ff8063d2b37b9fd3f" already present on machine
41m         Normal    Created             pod/ingress-nginx-admission-create-plsrw         Created container: create
41m         Normal    Completed           job/ingress-nginx-admission-create               Job completed
41m         Normal    Killing             pod/ingress-nginx-controller-b954bfd68-9fjgg     Stopping container controller
41m         Normal    SuccessfulCreate    daemonset/ingress-nginx-controller               Created pod: ingress-nginx-controller-cwcw5
41m         Normal    Scheduled           pod/ingress-nginx-controller-cwcw5               Successfully assigned ingress-nginx/ingress-nginx-controller-cwcw5 to master1
41m         Normal    Started             pod/ingress-nginx-controller-cwcw5               Started container controller
41m         Normal    Created             pod/ingress-nginx-controller-cwcw5               Created container: controller
41m         Normal    CREATE              configmap/ingress-nginx-controller               ConfigMap ingress-nginx/ingress-nginx-controller
41m         Normal    Pulled              pod/ingress-nginx-controller-cwcw5               Container image "registry.k8s.io/ingress-nginx/controller:v1.11.3@sha256:d56f135b6462cfc476447cfe564b83a45e8bb7da2774963b00d12161112270b7" already present on machine
41m         Normal    RELOAD              pod/ingress-nginx-controller-cwcw5               NGINX reload triggered due to a change in configuration
40m         Warning   Unhealthy           pod/ingress-nginx-controller-b954bfd68-9fjgg     Readiness probe failed: HTTP probe failed with statuscode: 500
39m         Normal    Killing             pod/ingress-nginx-controller-cwcw5               Stopping container controller
39m         Warning   UpgradeFailed       helmrelease/ingress-nginx                        Helm upgrade failed for release ingress-nginx/ingress-nginx with chart ingress-nginx@4.11.3: services "ingress-nginx-controller-admission" not found...
39m         Warning   Unhealthy           pod/ingress-nginx-controller-cwcw5               Readiness probe failed: HTTP probe failed with statuscode: 500
37m         Normal    SuccessfulCreate    replicaset/ingress-nginx-controller-b954bfd68    Created pod: ingress-nginx-controller-b954bfd68-zrfzq
37m         Normal    Scheduled           pod/ingress-nginx-controller-b954bfd68-zrfzq     Successfully assigned ingress-nginx/ingress-nginx-controller-b954bfd68-zrfzq to master1
37m         Normal    ScalingReplicaSet   deployment/ingress-nginx-controller              Scaled up replica set ingress-nginx-controller-b954bfd68 to 1
37m         Normal    Started             pod/ingress-nginx-controller-b954bfd68-zrfzq     Started container controller
37m         Normal    Created             pod/ingress-nginx-controller-b954bfd68-zrfzq     Created container: controller
37m         Normal    Pulled              pod/ingress-nginx-controller-b954bfd68-zrfzq     Container image "registry.k8s.io/ingress-nginx/controller:v1.11.3@sha256:d56f135b6462cfc476447cfe564b83a45e8bb7da2774963b00d12161112270b7" already present on machine
37m         Normal    CREATE              configmap/ingress-nginx-controller               ConfigMap ingress-nginx/ingress-nginx-controller
37m         Normal    RELOAD              pod/ingress-nginx-controller-b954bfd68-zrfzq     NGINX reload triggered due to a change in configuration
37m         Normal    Scheduled           pod/ingress-nginx-admission-create-9gfxq         Successfully assigned ingress-nginx/ingress-nginx-admission-create-9gfxq to master1
37m         Normal    SuccessfulCreate    job/ingress-nginx-admission-create               Created pod: ingress-nginx-admission-create-9gfxq
37m         Normal    Created             pod/ingress-nginx-admission-create-9gfxq         Created container: create
37m         Normal    Pulled              pod/ingress-nginx-admission-create-9gfxq         Container image "registry.k8s.io/ingress-nginx/kube-webhook-certgen:v1.4.4@sha256:a9f03b34a3cbfbb26d103a14046ab2c5130a80c3d69d526ff8063d2b37b9fd3f" already present on machine
37m         Normal    Started             pod/ingress-nginx-admission-create-9gfxq         Started container create
37m         Normal    Completed           job/ingress-nginx-admission-create               Job completed
37m         Normal    Killing             pod/ingress-nginx-controller-b954bfd68-zrfzq     Stopping container controller
