NAMESPACE         LAST SEEN   TYPE      REASON                       OBJECT                                                     MESSAGE
flux-system       55m         Normal    Succeeded                    imageupdateautomation/whoami-update                        repository up-to-date
flux-system       52m         Normal    Succeeded                    imagepolicy/whoami                                         Latest image tag for 'ghcr.io/loicgo29/whoami' updated from 1.11.0 to 1.11.1
flux-system       52m         Normal    Succeeded                    imagerepository/whoami                                     no new tags found, next scan in 1h40m0s
flux-system       50m         Normal    DependencyNotReady           kustomization/apps                                         Dependencies do not meet ready condition, retrying in 30s
flux-system       48m         Normal    DependencyNotReady           kustomization/whoami                                       Dependencies do not meet ready condition, retrying in 30s
flux-system       48m         Normal    Progressing                  kustomization/whoami                                       Namespace/whoami configured...
whoami            48m         Normal    Sync                         ingress/whoami                                             Scheduled for sync
flux-system       48m         Normal    ReconciliationSucceeded      kustomization/whoami                                       Reconciliation finished in 370.119937ms, next run in 1m0s
flux-system       48m         Normal    Progressing                  kustomization/whoami                                       Health check passed in 145.544946ms
flux-system       48m         Normal    ReconciliationSucceeded      kustomization/whoami                                       Reconciliation finished in 142.552596ms, next run in 1m0s
flux-system       48m         Normal    ReconciliationSucceeded      kustomization/whoami                                       Reconciliation finished in 158.781686ms, next run in 1m0s
flux-system       47m         Normal    ReconciliationSucceeded      kustomization/whoami                                       Reconciliation finished in 186.79792ms, next run in 1m0s
flux-system       46m         Warning   HealthCheckFailed            kustomization/ingress-nginx                                health check failed after 19.513425ms: failed early due to stalled resources: [HelmRelease/ingress-nginx/ingress-nginx status: 'Failed']
flux-system       46m         Normal    ReconciliationSucceeded      kustomization/whoami                                       Reconciliation finished in 278.516452ms, next run in 1m0s
flux-system       45m         Warning   HealthCheckFailed            kustomization/ingress-nginx                                health check failed after 22.728782ms: failed early due to stalled resources: [HelmRelease/ingress-nginx/ingress-nginx status: 'Failed']
flux-system       45m         Normal    ReconciliationSucceeded      kustomization/whoami                                       Reconciliation finished in 312.238172ms, next run in 1m0s
flux-system       44m         Normal    ReconciliationSucceeded      kustomization/ingress-nginx                                Reconciliation finished in 129.734122ms, next run in 1m0s
flux-system       44m         Normal    Progressing                  kustomization/ingress-nginx                                Health check passed in 25.134405ms
flux-system       44m         Normal    ReconciliationSucceeded      kustomization/ingress-nginx                                Reconciliation finished in 171.496693ms, next run in 1m0s
flux-system       44m         Normal    Progressing                  kustomization/lab-root                                     Kustomization/flux-system/ingress-nginx configured
flux-system       44m         Warning   HealthCheckFailed            kustomization/ingress-nginx                                health check failed after 14.272595ms: failed early due to stalled resources: [HelmRelease/ingress-nginx/ingress-nginx status: 'Failed']
flux-system       44m         Warning   HealthCheckFailed            kustomization/ingress-nginx                                health check failed after 25.182744ms: failed early due to stalled resources: [HelmRelease/ingress-nginx/ingress-nginx status: 'Failed']
flux-system       44m         Normal    ReconciliationSucceeded      kustomization/whoami                                       Reconciliation finished in 314.248948ms, next run in 1m0s
flux-system       43m         Warning   HealthCheckFailed            kustomization/ingress-nginx                                health check failed after 27.718595ms: failed early due to stalled resources: [HelmRelease/ingress-nginx/ingress-nginx status: 'Failed']
flux-system       43m         Normal    ReconciliationSucceeded      kustomization/whoami                                       Reconciliation finished in 196.04805ms, next run in 1m0s
flux-system       42m         Warning   HealthCheckFailed            kustomization/ingress-nginx                                health check failed after 24.538668ms: failed early due to stalled resources: [HelmRelease/ingress-nginx/ingress-nginx status: 'Failed']
flux-system       42m         Normal    ReconciliationSucceeded      kustomization/whoami                                       Reconciliation finished in 196.568007ms, next run in 1m0s
flux-system       41m         Warning   HealthCheckFailed            kustomization/ingress-nginx                                health check failed after 15.394707ms: failed early due to stalled resources: [HelmRelease/ingress-nginx/ingress-nginx status: 'Failed']
ingress-nginx     41m         Normal    SuccessfulCreate             job/ingress-nginx-admission-create                         Created pod: ingress-nginx-admission-create-plsrw
ingress-nginx     41m         Normal    Scheduled                    pod/ingress-nginx-admission-create-plsrw                   Successfully assigned ingress-nginx/ingress-nginx-admission-create-plsrw to master1
ingress-nginx     41m         Normal    Pulled                       pod/ingress-nginx-admission-create-plsrw                   Container image "registry.k8s.io/ingress-nginx/kube-webhook-certgen:v1.4.4@sha256:a9f03b34a3cbfbb26d103a14046ab2c5130a80c3d69d526ff8063d2b37b9fd3f" already present on machine
ingress-nginx     41m         Normal    Started                      pod/ingress-nginx-admission-create-plsrw                   Started container create
ingress-nginx     41m         Normal    Created                      pod/ingress-nginx-admission-create-plsrw                   Created container: create
ingress-nginx     41m         Normal    SuccessfulCreate             daemonset/ingress-nginx-controller                         Created pod: ingress-nginx-controller-cwcw5
ingress-nginx     41m         Normal    Completed                    job/ingress-nginx-admission-create                         Job completed
ingress-nginx     41m         Normal    Killing                      pod/ingress-nginx-controller-b954bfd68-9fjgg               Stopping container controller
ingress-nginx     41m         Normal    Scheduled                    pod/ingress-nginx-controller-cwcw5                         Successfully assigned ingress-nginx/ingress-nginx-controller-cwcw5 to master1
ingress-nginx     41m         Normal    CREATE                       configmap/ingress-nginx-controller                         ConfigMap ingress-nginx/ingress-nginx-controller
ingress-nginx     41m         Normal    Pulled                       pod/ingress-nginx-controller-cwcw5                         Container image "registry.k8s.io/ingress-nginx/controller:v1.11.3@sha256:d56f135b6462cfc476447cfe564b83a45e8bb7da2774963b00d12161112270b7" already present on machine
