NAMESPACE         LAST SEEN   TYPE      REASON                       OBJECT                                                        MESSAGE
observability     60m         Normal    Scheduled                    pod/grafana-79fc98d754-bdzkd                                  Successfully assigned observability/grafana-79fc98d754-bdzkd to master1
observability     60m         Normal    ScalingReplicaSet            deployment/grafana                                            Scaled up replica set grafana-79fc98d754 to 1
observability     60m         Normal    SuccessfulCreate             replicaset/grafana-79fc98d754                                 Created pod: grafana-79fc98d754-bdzkd
longhorn-system   60m         Normal    Start                        replica/pvc-909fa485-1067-4906-a41a-11836d6d23bf-r-b75500e9   Starts pvc-909fa485-1067-4906-a41a-11836d6d23bf-r-b75500e9
longhorn-system   60m         Normal    Start                        engine/pvc-909fa485-1067-4906-a41a-11836d6d23bf-e-0           Starts pvc-909fa485-1067-4906-a41a-11836d6d23bf-e-0
longhorn-system   60m         Normal    Attached                     volume/pvc-909fa485-1067-4906-a41a-11836d6d23bf               volume pvc-909fa485-1067-4906-a41a-11836d6d23bf has been attached to master1
longhorn-system   60m         Normal    Degraded                     volume/pvc-909fa485-1067-4906-a41a-11836d6d23bf               volume pvc-909fa485-1067-4906-a41a-11836d6d23bf became degraded
observability     60m         Normal    SuccessfulAttachVolume       pod/grafana-79fc98d754-bdzkd                                  AttachVolume.Attach succeeded for volume "pvc-909fa485-1067-4906-a41a-11836d6d23bf"
observability     60m         Normal    Created                      pod/grafana-79fc98d754-bdzkd                                  Created container: init-chown-data
observability     60m         Normal    Pulled                       pod/grafana-79fc98d754-bdzkd                                  Container image "docker.io/library/busybox:1.31.1" already present on machine
observability     60m         Normal    Started                      pod/grafana-79fc98d754-bdzkd                                  Started container init-chown-data
observability     59m         Normal    Pulled                       pod/grafana-79fc98d754-bdzkd                                  Container image "docker.io/curlimages/curl:8.9.1" already present on machine
observability     59m         Normal    Started                      pod/grafana-79fc98d754-bdzkd                                  Started container download-dashboards
observability     59m         Normal    Created                      pod/grafana-79fc98d754-bdzkd                                  Created container: download-dashboards
observability     59m         Normal    Created                      pod/grafana-79fc98d754-bdzkd                                  Created container: grafana
observability     59m         Normal    Created                      pod/grafana-79fc98d754-bdzkd                                  Created container: grafana-sc-dashboard
observability     59m         Normal    Started                      pod/grafana-79fc98d754-bdzkd                                  Started container grafana-sc-dashboard
observability     59m         Normal    Pulled                       pod/grafana-79fc98d754-bdzkd                                  Container image "docker.io/grafana/grafana:11.6.1" already present on machine
observability     59m         Normal    Pulled                       pod/grafana-79fc98d754-bdzkd                                  Container image "quay.io/kiwigrid/k8s-sidecar:1.30.0" already present on machine
observability     59m         Normal    Started                      pod/grafana-79fc98d754-bdzkd                                  Started container grafana
observability     59m         Warning   Unhealthy                    pod/grafana-79fc98d754-bdzkd                                  Readiness probe failed: Get "http://10.244.0.80:3000/api/health": dial tcp 10.244.0.80:3000: connect: connection refused
observability     59m         Normal    UpgradeSucceeded             helmrelease/grafana                                           Helm upgrade succeeded for release observability/grafana.v3 with chart grafana@8.15.0
observability     59m         Normal    Scheduled                    pod/grafana-7569ccdc5b-4ndw4                                  Successfully assigned observability/grafana-7569ccdc5b-4ndw4 to master1
observability     59m         Normal    SuccessfulCreate             replicaset/grafana-7569ccdc5b                                 Created pod: grafana-7569ccdc5b-4ndw4
observability     59m         Normal    ScalingReplicaSet            deployment/grafana                                            Scaled up replica set grafana-7569ccdc5b to 1
observability     59m         Normal    Created                      pod/grafana-7569ccdc5b-4ndw4                                  Created container: download-dashboards
observability     59m         Normal    Pulled                       pod/grafana-7569ccdc5b-4ndw4                                  Container image "docker.io/library/busybox:1.31.1" already present on machine
observability     59m         Normal    Created                      pod/grafana-7569ccdc5b-4ndw4                                  Created container: init-chown-data
observability     59m         Normal    Started                      pod/grafana-7569ccdc5b-4ndw4                                  Started container init-chown-data
observability     59m         Normal    Pulled                       pod/grafana-7569ccdc5b-4ndw4                                  Container image "docker.io/curlimages/curl:8.9.1" already present on machine
observability     59m         Normal    Started                      pod/grafana-7569ccdc5b-4ndw4                                  Started container download-dashboards
observability     59m         Normal    Pulled                       pod/grafana-7569ccdc5b-4ndw4                                  Container image "quay.io/kiwigrid/k8s-sidecar:1.30.0" already present on machine
observability     59m         Normal    Created                      pod/grafana-7569ccdc5b-4ndw4                                  Created container: grafana-sc-dashboard
observability     59m         Normal    Pulled                       pod/grafana-7569ccdc5b-4ndw4                                  Container image "docker.io/grafana/grafana:11.6.1" already present on machine
observability     59m         Normal    Started                      pod/grafana-7569ccdc5b-4ndw4                                  Started container grafana-sc-dashboard
observability     59m         Normal    Started                      pod/grafana-7569ccdc5b-4ndw4                                  Started container grafana
observability     59m         Normal    Created                      pod/grafana-7569ccdc5b-4ndw4                                  Created container: grafana
observability     59m         Normal    ScalingReplicaSet            deployment/grafana                                            Scaled down replica set grafana-79fc98d754 to 0 from 1
observability     59m         Normal    SuccessfulDelete             replicaset/grafana-79fc98d754                                 Deleted pod: grafana-79fc98d754-bdzkd
observability     59m         Normal    Killing                      pod/grafana-79fc98d754-bdzkd                                  Stopping container grafana
observability     59m         Normal    Killing                      pod/grafana-79fc98d754-bdzkd                                  Stopping container grafana-sc-dashboard
observability     59m         Warning   Unhealthy                    pod/grafana-79fc98d754-bdzkd                                  Readiness probe failed: Get "http://10.244.0.80:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
flux-system       55m         Normal    Progressing                  kustomization/observability                                   HelmRelease/observability/grafana configured
observability     55m         Normal    Scheduled                    pod/grafana-77959b4b47-gp8cl                                  Successfully assigned observability/grafana-77959b4b47-gp8cl to master1
observability     55m         Normal    SuccessfulCreate             replicaset/grafana-77959b4b47                                 Created pod: grafana-77959b4b47-gp8cl
observability     55m         Normal    Started                      pod/grafana-77959b4b47-gp8cl                                  Started container init-chown-data
observability     55m         Normal    Created                      pod/grafana-77959b4b47-gp8cl                                  Created container: download-dashboards
observability     55m         Normal    Pulled                       pod/grafana-77959b4b47-gp8cl                                  Container image "docker.io/curlimages/curl:8.9.1" already present on machine
observability     55m         Normal    Created                      pod/grafana-77959b4b47-gp8cl                                  Created container: init-chown-data
observability     55m         Normal    Pulled                       pod/grafana-77959b4b47-gp8cl                                  Container image "docker.io/library/busybox:1.31.1" already present on machine
observability     55m         Normal    Pulled                       pod/grafana-77959b4b47-gp8cl                                  Container image "quay.io/kiwigrid/k8s-sidecar:1.30.0" already present on machine
observability     55m         Normal    Created                      pod/grafana-77959b4b47-gp8cl                                  Created container: grafana-sc-dashboard
observability     55m         Normal    Started                      pod/grafana-77959b4b47-gp8cl                                  Started container download-dashboards
observability     55m         Normal    Started                      pod/grafana-77959b4b47-gp8cl                                  Started container grafana
observability     55m         Normal    Started                      pod/grafana-77959b4b47-gp8cl                                  Started container grafana-sc-dashboard
observability     55m         Normal    Pulled                       pod/grafana-77959b4b47-gp8cl                                  Container image "docker.io/grafana/grafana:11.6.1" already present on machine
observability     55m         Normal    Created                      pod/grafana-77959b4b47-gp8cl                                  Created container: grafana
observability     55m         Warning   Unhealthy                    pod/grafana-77959b4b47-gp8cl                                  Readiness probe failed: Get "http://10.244.0.82:3000/api/health": dial tcp 10.244.0.82:3000: connect: connection refused
observability     55m         Normal    Killing                      pod/grafana-7569ccdc5b-4ndw4                                  Stopping container grafana
observability     55m         Warning   Unhealthy                    pod/grafana-7569ccdc5b-4ndw4                                  Readiness probe failed: Get "http://10.244.0.81:3000/api/health": dial tcp 10.244.0.81:3000: connect: connection refused
observability     55m         Normal    Killing                      pod/grafana-7569ccdc5b-4ndw4                                  Stopping container grafana-sc-dashboard
observability     55m         Normal    ScalingReplicaSet            deployment/grafana                                            (combined from similar events): Scaled down replica set grafana-7569ccdc5b to 0 from 1
observability     55m         Normal    SuccessfulDelete             replicaset/grafana-7569ccdc5b                                 Deleted pod: grafana-7569ccdc5b-4ndw4
observability     55m         Normal    UpgradeSucceeded             helmrelease/grafana                                           Helm upgrade succeeded for release observability/grafana.v4 with chart grafana@8.15.0
flux-system       43m         Normal    ArtifactUpToDate             helmrepository/longhorn                                       artifact up-to-date with remote revision: 'sha256:014710713907a192c85702d9b3c36b3ee4fc874d156290e37d599e4c0031d6c6'
flux-system       41m         Warning   BuildFailed                  kustomization/observability                                   kustomize build failed: accumulating resources: accumulation err='accumulating resources from '../../dashboard': read /tmp/kustomization-732791039/infra/observability/dashboard: is a directory': couldn't make target for path '/tmp/kustomization-732791039/infra/observability/dashboard': unable to find one of 'kustomization.yaml', 'kustomization.yml' or 'Kustomization' in directory '/tmp/kustomization-732791039/infra/observability/dashboard'
flux-system       41m         Warning   BuildFailed                  kustomization/observability                                   kustomize build failed: accumulating resources: accumulation err='accumulating resources from '../../dashboard': read /tmp/kustomization-3399736312/infra/observability/dashboard: is a directory': couldn't make target for path '/tmp/kustomization-3399736312/infra/observability/dashboard': unable to find one of 'kustomization.yaml', 'kustomization.yml' or 'Kustomization' in directory '/tmp/kustomization-3399736312/infra/observability/dashboard'
flux-system       40m         Warning   BuildFailed                  kustomization/observability                                   kustomize build failed: accumulating resources: accumulation err='accumulating resources from '../../dashboard': read /tmp/kustomization-2381021259/infra/observability/dashboard: is a directory': couldn't make target for path '/tmp/kustomization-2381021259/infra/observability/dashboard': unable to find one of 'kustomization.yaml', 'kustomization.yml' or 'Kustomization' in directory '/tmp/kustomization-2381021259/infra/observability/dashboard'
flux-system       37m         Normal    ArtifactUpToDate             helmrepository/cert-manager                                   artifact up-to-date with remote revision: 'sha256:05de998518dae49671f01e665011a34d19725c80dbe8e2ccf05f4833b07bbb95'
flux-system       36m         Normal    ArtifactUpToDate             helmrepository/prometheus-community                           artifact up-to-date with remote revision: 'sha256:9f332a19ebc78af38cbde76940902881365b8135e2587c81a0f8bb36c7d1a95d'
flux-system       35m         Warning   BuildFailed                  kustomization/observability                                   kustomize build failed: accumulating resources: accumulation err='accumulating resources from '../../dashboard': read /tmp/kustomization-2784445689/infra/observability/dashboard: is a directory': couldn't make target for path '/tmp/kustomization-2784445689/infra/observability/dashboard': unable to find one of 'kustomization.yaml', 'kustomization.yml' or 'Kustomization' in directory '/tmp/kustomization-2784445689/infra/observability/dashboard'
flux-system       32m         Normal    ArtifactUpToDate             helmrepository/grafana                                        artifact up-to-date with remote revision: 'sha256:83e0b03a34f8caea7ac12514a4d2bc611c1d1e15a02dea5442ab99cfd7b543ca'
observability     32m         Normal    SuccessfulCreate             replicaset/grafana-58846857f6                                 Created pod: grafana-58846857f6-wt5vk
observability     32m         Normal    ScalingReplicaSet            deployment/grafana                                            Scaled up replica set grafana-58846857f6 to 1
observability     32m         Normal    Scheduled                    pod/grafana-58846857f6-wt5vk                                  Successfully assigned observability/grafana-58846857f6-wt5vk to master1
observability     32m         Normal    Started                      pod/grafana-58846857f6-wt5vk                                  Started container download-dashboards
observability     32m         Normal    Pulled                       pod/grafana-58846857f6-wt5vk                                  Container image "docker.io/library/busybox:1.31.1" already present on machine
