NAME              STATUS   AGE
arc-runners       Active   2d18h
arc-systems       Active   2d18h
cert-manager      Active   42h
default           Active   6d20h
flux-system       Active   6d20h
gha-runners       Active   3d12h
ingress-nginx     Active   6d20h
kube-flannel      Active   6d20h
kube-node-lease   Active   6d20h
kube-public       Active   6d20h
kube-system       Active   6d20h
logging           Active   2d21h
longhorn-system   Active   3d19h
observability     Active   3d15h
whoami            Active   6d20h
