## sources
NAME  	REVISION          	SUSPENDED	READY	MESSAGE                                           
gitops	main@sha1:82be0e14	False    	True 	stored artifact for revision 'main@sha1:82be0e14'	
NAME                	REVISION       	SUSPENDED	READY	MESSAGE                                     
cert-manager        	sha256:05de9985	False    	True 	stored artifact: revision 'sha256:05de9985'	
grafana             	sha256:83e0b03a	False    	True 	stored artifact: revision 'sha256:83e0b03a'	
ingress-nginx       	sha256:b2fbc105	False    	True 	stored artifact: revision 'sha256:b2fbc105'	
longhorn            	sha256:01471071	False    	True 	stored artifact: revision 'sha256:01471071'	
prometheus-community	sha256:9f332a19	False    	True 	stored artifact: revision 'sha256:9f332a19'	

## kustomizations
NAMESPACE  	NAME                	REVISION          	SUSPENDED	READY	MESSAGE                              
flux-system	apps                	main@sha1:82be0e14	False    	True 	Applied revision: main@sha1:82be0e14	
flux-system	cert-manager        	main@sha1:82be0e14	False    	True 	Applied revision: main@sha1:82be0e14	
flux-system	cert-manager-issuers	main@sha1:82be0e14	False    	True 	Applied revision: main@sha1:82be0e14	
flux-system	infra-longhorn      	main@sha1:82be0e14	False    	True 	Applied revision: main@sha1:82be0e14	
flux-system	ingress-nginx       	main@sha1:82be0e14	False    	True 	Applied revision: main@sha1:82be0e14	
flux-system	lab-root            	main@sha1:82be0e14	False    	True 	Applied revision: main@sha1:82be0e14	
flux-system	observability       	main@sha1:82be0e14	False    	True 	Applied revision: main@sha1:82be0e14	
flux-system	whoami              	main@sha1:82be0e14	False    	True 	Applied revision: main@sha1:82be0e14	

## helmreleases
NAMESPACE      	NAME                 	REVISION	SUSPENDED	READY	MESSAGE                                                                                                           
cert-manager   	cert-manager         	v1.15.5 	False    	True 	Helm install succeeded for release cert-manager/cert-manager.v1 with chart cert-manager@v1.15.5                  	
ingress-nginx  	ingress-nginx        	4.11.3  	True     	True 	Helm upgrade succeeded for release ingress-nginx/ingress-nginx.v6 with chart ingress-nginx@4.11.3                	
logging        	loki                 	2.10.2  	False    	True 	Helm upgrade succeeded for release logging/loki.v3 with chart loki-stack@2.10.2                                  	
logging        	promtail             	6.17.0  	False    	True 	Helm upgrade succeeded for release logging/promtail.v3 with chart promtail@6.17.0                                	
longhorn-system	longhorn             	1.9.1   	False    	True 	Helm install succeeded for release longhorn-system/longhorn.v1 with chart longhorn@1.9.1                         	
observability  	grafana              	8.15.0  	False    	True 	Helm upgrade succeeded for release observability/grafana.v5 with chart grafana@8.15.0                            	
observability  	kube-prometheus-stack	61.9.0  	False    	True 	Helm upgrade succeeded for release observability/kube-prometheus-stack.v8 with chart kube-prometheus-stack@61.9.0	
